날짜,종가,거래량
2020.10.12,60400.0,16145837
2020.10.13,60900.0,19247631
2020.10.14,60900.0,16086716
2020.10.15,60000.0,17756232
2020.10.16,59500.0,16554190
2020.10.19,60000.0,14474985
2020.10.20,60900.0,19326115
2020.10.21,60900.0,15703443
2020.10.22,60100.0,14294095
2020.10.23,60200.0,9322232
2020.10.26,60400.0,13268226
2020.10.27,59800.0,17260416
2020.10.28,59000.0,14428882
2020.10.29,58100.0,22636966
2020.10.30,56600.0,26907844
2020.11.02,57400.0,20489076
2020.11.03,58800.0,14950919
2020.11.04,58500.0,21718561
2020.11.05,60300.0,20639475
2020.11.06,60100.0,16910230
2020.11.09,60200.0,15892961
2020.11.10,60200.0,19073552
2020.11.11,61300.0,25628510
2020.11.12,61000.0,19800573
2020.11.13,63200.0,31508829
2020.11.16,66300.0,36354334
2020.11.17,65700.0,30204089
2020.11.18,64800.0,22963790
2020.11.19,64600.0,16590290
2020.11.20,64700.0,15068682
2020.11.23,67500.0,27134398
2020.11.24,67700.0,32158235
2020.11.25,66600.0,32447065
2020.11.26,68000.0,19023323
2020.11.27,68200.0,14063434
2020.11.30,66700.0,43811016
2020.12.01,67800.0,22327173
2020.12.02,69500.0,29703942
2020.12.03,69700.0,23677989
2020.12.04,71500.0,28130533
2020.12.07,72900.0,28490496
2020.12.08,71700.0,25000338
2020.12.09,73900.0,24077996
2020.12.10,72900.0,39882928
2020.12.11,73400.0,18486672
2020.12.14,73800.0,21510415
2020.12.15,73800.0,20863671
2020.12.16,73800.0,17512081
2020.12.17,73300.0,24293214
2020.12.18,73000.0,17613029
2020.12.21,73000.0,20367355
2020.12.22,72300.0,16304910
2020.12.23,73900.0,19411326
2020.12.24,77800.0,32502870
2020.12.28,78700.0,40085044
2020.12.29,78300.0,30339449
2020.12.30,81000.0,29417421
2021.01.04,83000.0,38655276
2021.01.05,83900.0,35335669
2021.01.06,82200.0,42089013
2021.01.07,82900.0,32644642
2021.01.08,88800.0,59013307
2021.01.11,91000.0,90306177
2021.01.12,90600.0,48682416
2021.01.13,89700.0,36068848
2021.01.14,89700.0,26393970
2021.01.15,88000.0,33431809
2021.01.18,85000.0,43227951
2021.01.19,87000.0,39895044
2021.01.20,87200.0,25211127
2021.01.21,88100.0,25318011
2021.01.22,86800.0,30861661
2021.01.25,89400.0,27258534
2021.01.26,86700.0,33178936
2021.01.27,85600.0,26423070
2021.01.28,83700.0,31859808
2021.01.29,82000.0,39615978
2021.02.01,83000.0,28046832
2021.02.02,84400.0,26302077
2021.02.03,84600.0,22112205
2021.02.04,82500.0,24171688
2021.02.05,83500.0,18036835
2021.02.08,83000.0,15338765
2021.02.09,82700.0,20898332
2021.02.10,81600.0,23025766
2021.02.15,84200.0,23529706
2021.02.16,84900.0,20483100
2021.02.17,83200.0,18307735
2021.02.18,82100.0,21327683
2021.02.19,82600.0,25880879
2021.02.22,82200.0,25419886
2021.02.23,82000.0,20587314
2021.02.24,82000.0,26807651
2021.02.25,85300.0,34155986
2021.02.26,82500.0,38520800
2021.03.02,83600.0,33498180
2021.03.03,84000.0,19882132
2021.03.04,82400.0,24348331
2021.03.05,82100.0,20508971
2021.03.08,82000.0,17641256
2021.03.09,81400.0,25420764
2021.03.10,80900.0,20038422
2021.03.11,82000.0,23818297
2021.03.12,82800.0,13530573
2021.03.15,81800.0,13735798
2021.03.16,82800.0,12293537
2021.03.17,82300.0,11625146
2021.03.18,82900.0,18585244
2021.03.19,81900.0,15869700
2021.03.22,82000.0,12670506
2021.03.23,81800.0,13299907
2021.03.24,81000.0,17926638
2021.03.25,81200.0,14758826
2021.03.26,81500.0,12845778
2021.03.29,81600.0,14952134
2021.03.30,82200.0,13121698
2021.03.31,81400.0,17240518
2021.04.01,82900.0,18676461
2021.04.02,84800.0,22997538
2021.04.05,85400.0,16255990
2021.04.06,86000.0,19042023
2021.04.07,85600.0,17885538
2021.04.08,84700.0,19244259
2021.04.09,83600.0,18193707
2021.04.12,83200.0,12915282
2021.04.13,84000.0,15238206
2021.04.14,84000.0,13794652
2021.04.15,84100.0,16377412
2021.04.16,83900.0,15429522
2021.04.19,83300.0,15287311
2021.04.20,83900.0,15521965
2021.04.21,82600.0,21636079
2021.04.22,82400.0,13934746
2021.04.23,82800.0,17805080
2021.04.26,83500.0,15489938
2021.04.27,82900.0,12941533
2021.04.28,82100.0,15596759
2021.04.29,81700.0,20000973
2021.04.30,81500.0,18673197
2021.05.03,81700.0,15710336
2021.05.04,82600.0,12532550
2021.05.06,82300.0,17047511
2021.05.07,81900.0,14154882
2021.05.10,83200.0,19385027
2021.05.11,81200.0,28996680
2021.05.12,80000.0,35812268
